"","model","method","parm_names","parm_values","eps","ss"
"241","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","lambda",0.29258318860757,35.9446226880029,200
"242","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","mu",6.0109201646622,35.9446226880029,200
"243","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","sigma",1,35.9446226880029,200
"244","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Prob_0",0.7449,35.9446226880029,200
"245","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","LR",0.533833648112288,35.9446226880029,200
"246","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Claim_Frequency",0.2893,35.9446226880029,200
"247","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Claim_Amount",680.016925181051,35.9446226880029,200
"248","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Total_Claim_Amount",189.640682781731,35.9446226880029,200
"249","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","lambda",0.21400969140946,35.9446226880029,200
"250","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","mu",6.29737096301888,35.9446226880029,200
"251","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","sigma",1,35.9446226880029,200
"252","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Prob_0",0.8058,35.9446226880029,200
"253","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","LR",0.520658824851037,35.9446226880029,200
